datum_ujeda,rasa,pol,sterilisan,distrikt,poštanski_broj
2017-08-06,Australian Shepherd,Mužjak,Da,Menhetn,10010
2017-08-06,Wheaton Terrier,Mužjak,Ne,Menhetn,NA
2017-08-05,Australian Cattle Dog,Mužjak,Da,Menhetn,10009
2017-08-08,Nepoznata,Nepoznato,Ne,Menhetn,10011
2017-08-04,Chihuahua Crossbreed,Mužjak,Da,Menhetn,10031
2017-08-08,Terrier Mix,Mužjak,Da,Menhetn,10013
2017-08-04,Chihuahua Crossbreed,Nepoznato,Ne,Menhetn,10024
2017-08-09,Pekingese,Nepoznato,Ne,Menhetn,10002
2017-08-09,Boston Terrier,Mužjak,Da,Menhetn,10028
2017-08-10,Cotton De Tulear,Mužjak,Da,Menhetn,10024
2017-08-09,American Staffordshire Terrier,Mužjak,Ne,Menhetn,10029
2017-08-08,Terrier Mix,Mužjak,Da,Menhetn,10021
2017-08-12,American Pit Bull Mix - Pit Bull Mix,Ženka,Ne,Menhetn,NA
2017-08-12,Golden Retriever,Nepoznato,Ne,Menhetn,10023
2017-08-08,Siberian Husky,Mužjak,Da,Menhetn,10040
2017-08-10,Sharpei- Brittany,Mužjak,Da,Menhetn,10003
2017-08-12,Pit Bull,Mužjak,Ne,Menhetn,NA
2017-08-12,American Pit Bull Mix - Pit Bull Mix,Ženka,Ne,Menhetn,NA
2017-08-14,Chihuahua,Nepoznato,Ne,Menhetn,10028
2017-08-14,Chihuahua,Nepoznato,Ne,Menhetn,10013
2017-08-13,Pit Bull,Ženka,Ne,Menhetn,10030
2017-08-17,Sheep Dog,Ženka,Ne,Menhetn,NA
2017-08-15,Chihuahua Mix,Mužjak,Da,Menhetn,10012
2017-08-16,Chihuahua,Nepoznato,Ne,Menhetn,10023
2017-08-16,Doberman Pinscher,Mužjak,Ne,Menhetn,10002
2017-08-18,Brussels Griffon,Mužjak,Da,Menhetn,10019
2017-08-11,German Shepherd,Mužjak,Ne,Menhetn,10024
2017-08-21,Siberian Husky,Nepoznato,Ne,Menhetn,10019
2017-08-17,Mastiff Or Cane Corso,Nepoznato,Ne,Menhetn,10024
2017-08-18,Mongrel Mix,Ženka,Da,Menhetn,10014
2017-08-22,Shih Tzu,Ženka,Ne,Menhetn,10128
2017-08-22,Rhodesian Ridgeback,Mužjak,Ne,Menhetn,10003
2017-08-21,American Pit Bull Terrier-Pit Bull,Mužjak,Da,Menhetn,NA
2017-08-23,Shih Tzu,Nepoznato,Ne,Menhetn,NA
2017-08-19,Pit Bull,Nepoznato,Ne,Menhetn,10009
2017-08-24,Schnauzer-Standard,Nepoznato,Ne,Menhetn,10009
2017-08-27,German Shepherd,Ženka,Da,Menhetn,10037
2017-08-25,American Pit Bull Mix - Pit Bull Mix,Mužjak,Da,Menhetn,10036
2017-08-12,German Shepherd,Nepoznato,Ne,Menhetn,NA
2017-08-02,Pit Bull,Nepoznato,Ne,Menhetn,10001
2017-08-22,Jack Russ,Ženka,Da,Menhetn,10029
2017-08-27,Cairn Terrier,Mužjak,Da,Menhetn,10027
2017-08-27,Pomeranian,Nepoznato,Ne,Menhetn,NA
2017-08-17,Pit Bull,Nepoznato,Ne,Menhetn,10032
2017-08-27,Terrier Mix,Mužjak,Da,Menhetn,10012
2017-08-25,Bull Dog,Nepoznato,Ne,Menhetn,NA
2017-08-28,Yorkshire Terrier,Nepoznato,Ne,Menhetn,10069
2017-08-30,Pit Bull,Mužjak,Da,Menhetn,10029
2017-08-28,Pit Bull,Ženka,Ne,Menhetn,10032
2017-08-29,Pit Bull,Mužjak,Ne,Menhetn,NA
2017-08-30,Bull Terrier,Mužjak,Da,Menhetn,10023
2017-08-30,Siberian Husky,Nepoznato,Ne,Menhetn,10023
2017-08-30,Pit Bull,Mužjak,Ne,Menhetn,10029
2017-08-31,Shepherd,Nepoznato,Ne,Menhetn,NA
2017-08-22,Weimaraner,Mužjak,Da,Menhetn,10025
2017-08-31,Newfoundland,Mužjak,Da,Menhetn,10019
2017-08-31,Mixed-Other,Nepoznato,Ne,Menhetn,NA
2017-09-02,Maltese,Mužjak,Da,Menhetn,10009
2017-09-03,American Pit Bull Mix - Pit Bull Mix,Ženka,Ne,Menhetn,NA
2017-09-03,Pit Bull,Mužjak,Da,Menhetn,NA
2017-09-05,Cocker Spaniel,Mužjak,Da,Menhetn,10009
2017-09-02,Yorkshire Terrier,Mužjak,Da,Menhetn,10033
2017-09-07,Labrador Retriever,Mužjak,Da,Menhetn,10285
2017-09-08,American Pit Bull Mix - Pit Bull Mix,Ženka,Ne,Menhetn,10009
2017-09-10,Akita,Mužjak,Ne,Menhetn,10031
2017-09-09,Pit Bull,Nepoznato,Ne,Menhetn,10025
2017-07-12,Bernese Mountain,Mužjak,Da,Menhetn,NA
2017-09-11,Cockapoo,Mužjak,Da,Menhetn,NA
2017-09-12,Pomeranian,Mužjak,Da,Menhetn,10032
2017-09-12,Mixed-Other,Nepoznato,Ne,Menhetn,10001
2017-09-06,Pit Bull - German Shepherd Mix,Mužjak,Ne,Menhetn,10037
2017-09-17,Pit Bull,Nepoznato,Ne,Menhetn,10029
2017-09-16,American Staffordshire Terrier,Mužjak,Ne,Menhetn,10018
2017-09-14,Terrier Mix,Ženka,Da,Menhetn,10037
2017-09-16,Shih Tzu,Mužjak,Ne,Menhetn,10065
2017-09-17,Shih Tzu Crossbreed,Ženka,Da,Menhetn,10003
2017-09-16,Maltese,Mužjak,Da,Menhetn,10019
2017-09-08,Pomeranian,Mužjak,Ne,Menhetn,NA
2017-09-16,Pomeranian- Husky,Mužjak,Da,Menhetn,10029
2017-09-18,Greyhound,Mužjak,Ne,Menhetn,10024
2017-09-20,Pit Bull,Mužjak,Da,Menhetn,10030
2017-09-09,Shih Tzu,Mužjak,Da,Menhetn,10128
2017-09-17,Pomeranian,Mužjak,Ne,Menhetn,10035
2017-09-18,Terrier Mix,Mužjak,Da,Menhetn,NA
2017-09-19,Dachshund Smooth Coat,Nepoznato,Ne,Menhetn,10023
2017-09-21,Terrier,Nepoznato,Ne,Menhetn,NA
2017-09-22,Portuguese Water Dog,Mužjak,Da,Menhetn,10022
2017-09-22,Pit Bull,Mužjak,Ne,Menhetn,10026
2017-09-24,Pit Bull,Nepoznato,Ne,Menhetn,10128
2017-09-23,American Staff Mix,Mužjak,Ne,Menhetn,10029
2017-09-22,Nepoznata,Nepoznato,Ne,Menhetn,10026
2017-09-27,Terrier Mix,Ženka,Da,Menhetn,10032
2017-09-27,Chihuahua-Yorkshire Mix,Ženka,Ne,Menhetn,10035
2017-09-27,Pomeranian,Mužjak,Da,Menhetn,10001
2017-09-28,Shih Tzu,Ženka,Da,Menhetn,10025
2017-09-29,Pit Bull,Mužjak,Ne,Menhetn,10035
2017-09-29,Pit Bull,Nepoznato,Ne,Menhetn,NA
2017-09-29,Saint Bernard,Mužjak,Ne,Menhetn,10014
2017-09-30,Yorkshire Terrier,Mužjak,Da,Menhetn,10024
2017-09-29,Bull Dog,Nepoznato,Ne,Menhetn,10280
2017-09-20,Bull Dog,Nepoznato,Ne,Menhetn,10065
2017-09-24,Pit Bull,Mužjak,Da,Menhetn,10014
2017-10-02,Bull Dog-French,Ženka,Da,Menhetn,10003
2017-09-30,Boxer,Mužjak,Da,Menhetn,10030
2017-09-29,Mastiff-Bull,Ženka,Da,Menhetn,NA
2017-09-29,Shih Tzu,Mužjak,Ne,Menhetn,NA
2017-10-03,Boston Terrier,Nepoznato,Ne,Menhetn,10065
2017-09-30,Jack Russ,Ženka,Da,Menhetn,10003
2017-10-02,Labrador Retriever,Mužjak,Da,Menhetn,10014
2017-10-02,Bull Dog,Nepoznato,Ne,Menhetn,NA
2017-09-30,Beagle,Nepoznato,Ne,Menhetn,NA
2017-10-05,Australian Shepherd,Nepoznato,Ne,Menhetn,10009
2017-09-28,American Pit Bull Mix - Pit Bull Mix,Ženka,Da,Menhetn,10128
2017-10-03,Maltipoo,Nepoznato,Ne,Menhetn,NA
2017-10-04,Poodle-Standard,Nepoznato,Ne,Menhetn,NA
2017-10-04,Jack Russell Terrier- Basenji Mix,Ženka,Da,Menhetn,10282
2017-10-06,German Shepherd,Mužjak,Ne,Menhetn,10007
2017-10-08,Shih Tzu Maltese Mix,Mužjak,Da,Menhetn,10075
2017-10-09,Mixed-Other,Nepoznato,Ne,Menhetn,10010
2017-10-05,Greyhound,Nepoznato,Ne,Menhetn,NA
2017-10-05,Mixed-Other,Nepoznato,Ne,Menhetn,10025
2017-09-28,Pit Bull,Ženka,Ne,Menhetn,10128
2017-10-03,Pit Bull,Mužjak,Ne,Menhetn,10128
2017-10-07,Labrador Retriever,Nepoznato,Ne,Menhetn,NA
2017-10-06,Pit Bull,Nepoznato,Ne,Menhetn,NA
2017-10-13,Chihuahua,Nepoznato,Ne,Menhetn,NA
2017-10-03,Pit Bull,Mužjak,Ne,Menhetn,10029
2017-10-11,Cotton De Tulear,Mužjak,Da,Menhetn,10044
2017-10-12,Nepoznata,Nepoznato,Ne,Menhetn,NA
2017-10-14,Mastiff,Mužjak,Ne,Menhetn,10029
2017-10-15,Rottweiler,Nepoznato,Ne,Menhetn,10128
2017-10-16,Brussels Griffon,Mužjak,Da,Menhetn,10038
2017-10-15,Yorkshire Terrier,Nepoznato,Ne,Menhetn,NA
2017-10-14,Pit Bull,Nepoznato,Ne,Menhetn,10040
2017-10-18,Pit Bull,Ženka,Ne,Menhetn,10032
2017-10-17,Pit Bull,Nepoznato,Ne,Menhetn,10002
2017-10-14,Chihuahua,Nepoznato,Ne,Menhetn,NA
2017-10-12,Pit Bull,Nepoznato,Ne,Menhetn,10030
2017-10-20,Shih Tzu,Mužjak,Da,Menhetn,10029
2017-10-20,Puggle,Mužjak,Da,Menhetn,10027
2017-10-17,Mixed-Other,Ženka,Ne,Menhetn,10065
2017-10-18,Terrier Cross,Mužjak,Ne,Menhetn,10029
2017-10-21,Doberman Pinscher,Mužjak,Ne,Menhetn,10036
2017-10-25,Cocker Spaniel - Poodle Mix,Mužjak,Ne,Menhetn,10022
2017-10-25,Nepoznata,Nepoznato,Ne,Menhetn,NA
2017-10-22,Labrador Retriever,Ženka,Da,Menhetn,NA
2017-10-25,Pit Bull,Nepoznato,Ne,Menhetn,10033
2017-10-25,Shih Tzu- Yorkie,Mužjak,Da,Menhetn,10065
2017-10-24,Shiba Inu,Ženka,Da,Menhetn,10001
2017-10-23,Chihuahua,Nepoznato,Ne,Menhetn,10128
2017-10-18,Shih Tzu Mix Maltese,Ženka,Ne,Menhetn,10034
2017-10-25,Mixed-Other,Mužjak,Ne,Menhetn,10032
2017-10-29,Pit Bull,Nepoznato,Ne,Menhetn,NA
2017-05-20,Pit Bull,Nepoznato,Ne,Menhetn,10009
2017-10-26,Yorkshire Terrier,Nepoznato,Ne,Menhetn,NA
2017-10-24,Jack Russ,Nepoznato,Ne,Menhetn,NA
2017-10-27,Scottish Terrier,Ženka,Ne,Menhetn,10021
2017-10-26,Shih Tzu Mix,Mužjak,Da,Menhetn,10065
2017-10-29,Yorkshire Terrier,Mužjak,Da,Menhetn,10075
2017-10-29,Pit Bull,Nepoznato,Ne,Menhetn,10002
2017-10-30,Maltese,Mužjak,Da,Menhetn,NA
2017-11-01,Multi Collar Terrier,Ženka,Da,Menhetn,10065
2017-10-28,Potcake,Ženka,Da,Menhetn,10128
2017-10-29,Mixed-Other,Mužjak,Da,Menhetn,10003
2017-10-21,Maltipoo,Mužjak,Da,Menhetn,10016
2017-10-23,Pit Bull,Nepoznato,Ne,Menhetn,10009
2017-10-25,Bull Dog,Nepoznato,Ne,Menhetn,NA
2017-10-31,Poodle-Standard,Ženka,Da,Menhetn,10025
2017-11-01,Chihuahua,Mužjak,Da,Menhetn,10011
2017-11-05,Mastiff-Bull,Mužjak,Da,Menhetn,10128
2017-11-01,Maltese,Ženka,Ne,Menhetn,NA
2017-11-02,Poodle-Miniature,Nepoznato,Ne,Menhetn,NA
2017-11-02,German Shepherd,Nepoznato,Ne,Menhetn,10011
2017-11-02,Poodle-Miniature,Nepoznato,Ne,Menhetn,10010
2017-11-01,Boston Terrier,Mužjak,Da,Menhetn,NA
2017-10-30,Mixed-Other,Mužjak,Ne,Menhetn,NA
2017-10-30,Mixed-Other,Ženka,Ne,Menhetn,NA
2017-11-04,Pit Bull,Nepoznato,Ne,Menhetn,10029
2017-11-05,Terrier Mix,Mužjak,Da,Menhetn,10024
2017-11-06,Shiba Inu,Mužjak,Da,Menhetn,10009
2017-11-06,Mixed-Other,Nepoznato,Ne,Menhetn,10009
2017-11-06,Cocker Spaniel,Nepoznato,Ne,Menhetn,NA
2017-11-07,Mixed-Other,Mužjak,Ne,Menhetn,10035
2017-10-30,Poodle-Miniature,Nepoznato,Ne,Menhetn,10012
2017-11-06,Mixed-Other,Mužjak,Ne,Menhetn,10029
2017-11-07,Mixed-Other,Mužjak,Ne,Menhetn,10019
2017-09-16,American Staffordshire Terrier,Mužjak,Da,Menhetn,NA
2017-11-10,Mixed-Other,Mužjak,Ne,Menhetn,10009
2017-11-11,Pit Bull,Nepoznato,Ne,Menhetn,10027
2017-11-11,Pit Bull,Nepoznato,Ne,Menhetn,10027
2017-11-09,American Staffordshire Terrier,Mužjak,Da,Menhetn,10013
2017-11-12,Havanese,Mužjak,Ne,Menhetn,10024
2017-11-14,Mixed-Other,Mužjak,Ne,Menhetn,10026
2017-11-12,Mixed-Other,Mužjak,Ne,Menhetn,10029
2017-11-13,Terrier,Nepoznato,Ne,Menhetn,NA
2017-11-11,West High White Terrier,Mužjak,Ne,Menhetn,10034
2017-11-17,Terrier-Pitbull,Mužjak,Ne,Menhetn,10128
2017-11-17,Cockapoo,Mužjak,Da,Menhetn,10023
2017-11-16,Mixed-Other,Mužjak,Ne,Menhetn,10029
2017-11-14,Pit Bull,Mužjak,Da,Menhetn,10025
2017-11-17,Staffordshire Bull Terrier,Mužjak,Da,Menhetn,10009
2017-11-14,Samoyed,Nepoznato,Ne,Menhetn,10014
2017-11-19,Australian Shepherd,Mužjak,Ne,Menhetn,10011
2017-11-19,Pit Bull,Ženka,Da,Menhetn,10002
2017-11-17,Large Mixed Breed,Mužjak,Ne,Menhetn,10035
2017-11-17,Mixed-Other,Ženka,Ne,Menhetn,10009
2017-11-20,Shih Tzu,Mužjak,Da,Menhetn,10013
2017-11-11,Pit Bull,Mužjak,Ne,Menhetn,10026
2017-11-11,Pit Bull,Nepoznato,Ne,Menhetn,NA
2017-11-23,German Shepherd,Nepoznato,Ne,Menhetn,NA
2017-11-23,Pit Bull,Nepoznato,Ne,Menhetn,NA
2017-11-17,Large Mixed Navy,Mužjak,Ne,Menhetn,NA
2017-11-23,Nepoznata,Nepoznato,Ne,Menhetn,10023
2017-11-22,Nepoznata,Nepoznato,Ne,Menhetn,NA
2017-11-22,Pit Bull,Mužjak,Da,Menhetn,10030
2017-11-24,Maltese,Nepoznato,Ne,Menhetn,10024
2017-11-22,Golden Retriever,Nepoznato,Ne,Menhetn,10021
2017-11-24,Golden Retriever,Mužjak,Da,Menhetn,10001
2017-11-23,Nepoznata,Nepoznato,Ne,Menhetn,10035
2017-11-24,Pit Bull,Nepoznato,Ne,Menhetn,10025
2017-11-23,Mixed-Other,Mužjak,Ne,Menhetn,10031
2017-11-25,Bull Dog Mix,Mužjak,Ne,Menhetn,NA
2017-11-19,Pit Bull,Nepoznato,Da,Menhetn,10128
2017-11-27,Spitz,Nepoznato,Ne,Menhetn,NA
2017-11-15,Pit Bull,Nepoznato,Ne,Menhetn,10022
2017-11-23,Nepoznata,Nepoznato,Ne,Menhetn,NA
2017-11-28,Siberian Husky,Nepoznato,Ne,Menhetn,10010
2017-11-26,Pit Bull Mix,Ženka,Da,Menhetn,10023
2017-11-29,Shepherd - Labrador Mix,Mužjak,Da,Menhetn,10026
2017-11-28,German Shepherd,Mužjak,Da,Menhetn,10009
2017-11-30,Labrador Retriever,Mužjak,Da,Menhetn,10024
2017-11-29,Lhasa Apso,Ženka,Da,Menhetn,10037
2017-12-04,Nepoznata,Nepoznato,Ne,Menhetn,10028
2017-11-26,Dachshund Smooth Coat Miniature,Mužjak,Da,Menhetn,10009
2017-11-27,Pit Bull,Nepoznato,Ne,Menhetn,NA
2017-11-28,Shih Tzu,Nepoznato,Ne,Menhetn,NA
2017-12-03,Mixed-Other,Ženka,Ne,Menhetn,10036
2017-12-03,Mixed-Other,Ženka,Ne,Menhetn,10036
2017-12-02,Mixed-Other,Mužjak,Ne,Menhetn,10029
2017-12-03,Pit-Boxer,Ženka,Da,Menhetn,10026
2017-12-05,Nepoznata,Nepoznato,Ne,Menhetn,NA
2017-12-01,Labrador Retriever,Nepoznato,Ne,Menhetn,10012
2017-12-06,Cocker Spaniel,Ženka,Da,Menhetn,10017
2017-12-08,Nepoznata,Nepoznato,Ne,Menhetn,NA
2017-12-09,Shiba Inu,Ženka,Ne,Menhetn,10023
2017-12-05,Pomeranian,Mužjak,Da,Menhetn,10128
2017-12-05,Papillon,Mužjak,Da,Menhetn,NA
2017-12-05,Siberian Husky,Nepoznato,Ne,Menhetn,10032
2017-12-10,Pit Bull,Mužjak,Da,Menhetn,10007
2017-12-09,Maltese- Yorkshire Terrier,Mužjak,Ne,Menhetn,10019
2017-12-10,American Pit Bull Mix - Pit Bull Mix,Nepoznato,Ne,Menhetn,10028
2017-12-06,Mixed-Other,Ženka,Ne,Menhetn,10035
2017-12-08,Shiba Inu,Ženka,Da,Menhetn,NA
2017-11-29,Mixed-Other,Mužjak,Ne,Menhetn,10026
2017-12-09,Mixed-Other,Mužjak,Ne,Menhetn,10039
2017-12-10,Siberian Husky,Ženka,Ne,Menhetn,10027
2017-12-12,Mixed-Other,Mužjak,Ne,Menhetn,10029
2017-12-11,Mixed-Other,Mužjak,Ne,Menhetn,10029
2017-12-11,Mixed-Other,Ženka,Ne,Menhetn,10025
2017-12-12,Shepherd,Nepoznato,Ne,Menhetn,NA
2017-12-11,Bull Dog,Mužjak,Da,Menhetn,NA
2017-12-13,Boston Terrier,Mužjak,Ne,Menhetn,NA
2017-12-10,Mixed-Other,Nepoznato,Ne,Menhetn,10026
2017-12-16,Pit Bull,Nepoznato,Ne,Menhetn,NA
2017-12-16,Mixed-Other,Mužjak,Ne,Menhetn,10029
2017-12-16,Chow Chow,Nepoznato,Ne,Menhetn,NA
2017-12-15,Mixed-Other,Mužjak,Ne,Menhetn,10023
2017-12-18,Bull Dog-French,Mužjak,Da,Menhetn,10016
2017-12-18,Pit Bull,Nepoznato,Ne,Menhetn,10025
2017-12-19,Boxer,Mužjak,Ne,Menhetn,10019
2017-12-19,Mixed-Other,Ženka,Ne,Menhetn,10037
2017-12-05,Golden Retriever,Mužjak,Ne,Menhetn,NA
2017-12-19,Mixed-Other,Mužjak,Ne,Menhetn,10014
2017-12-19,Mixed-Other,Mužjak,Ne,Menhetn,10014
2017-12-19,Yorkshire Terrier,Mužjak,Ne,Menhetn,10025
2017-11-21,Pit Bull,Nepoznato,Ne,Menhetn,NA
2017-12-20,Pit Bull,Nepoznato,Ne,Menhetn,10002
2017-12-21,Pit Bull,Mužjak,Da,Menhetn,10128
2017-12-21,American Pit Bull Terrier-Pit Bull,Ženka,Da,Menhetn,10025
2017-12-22,Mixed Breed,Mužjak,Da,Menhetn,10128
2017-12-21,Havanese,Mužjak,Da,Menhetn,10012
2017-12-22,Terrier - Other,Nepoznato,Ne,Menhetn,10033
2017-12-23,Goldendoodle,Mužjak,Da,Menhetn,10014
2017-12-21,Dachschund- Pinscher Mix,Mužjak,Da,Menhetn,10019
2017-11-16,Bull Dog-French,Nepoznato,Ne,Menhetn,10009
2017-11-30,Nepoznata,Nepoznato,Ne,Menhetn,10028
2017-10-09,Mixed-Other,Nepoznato,Ne,Menhetn,NA
2017-12-29,Yorkshire Terrier,Ženka,Ne,Menhetn,10025
2017-01-09,Nepoznata,Nepoznato,Ne,Menhetn,10040
2017-01-11,Pit Bull,Nepoznato,Ne,Ostalo,7652
2017-01-15,Border Collie Mix,Ženka,Ne,Ostalo,8221
2017-01-15,German Shepherd,Ženka,Ne,Ostalo,11040
2017-01-21,Yorkshire Terrier,Mužjak,Ne,Ostalo,NA
2017-01-16,Pit Bull,Mužjak,Ne,Ostalo,19125
2017-02-05,Golden Doodle,Mužjak,Ne,Ostalo,8831
2017-02-05,Golden Doodle,Mužjak,Ne,Ostalo,8831
2017-02-10,Shih Tzu,Mužjak,Da,Ostalo,18360
2017-02-17,Maltese Mix,Ženka,Ne,Ostalo,10701
2017-02-24,Beagle-Pit Bull Mix,Mužjak,Da,Ostalo,11040
2017-03-06,Shih Tzu Mix,Mužjak,Da,Ostalo,6880
2017-03-03,Shih Tzu,Mužjak,Ne,Ostalo,10710
2017-02-28,Cavalier King Charles Spaniel,Mužjak,Da,Ostalo,NA
2017-03-10,Cocker Spaniel,Mužjak,Da,Ostalo,11710
2017-03-10,Schnauzer-Standard,Nepoznato,Ne,Ostalo,NA
2017-02-28,American Staffordshire Terrier,Mužjak,Da,Ostalo,19002
2017-03-11,Jack Russ,Nepoznato,Ne,Ostalo,NA
2017-04-19,Pit Bull,Nepoznato,Ne,Ostalo,NA
2017-04-05,Pit Bull,Mužjak,Ne,Ostalo,1013
2017-04-16,Pit Bull,Mužjak,Da,Ostalo,6518
2017-04-17,Poddle Mix,Mužjak,Da,Ostalo,10701
2017-04-21,Poodle,Nepoznato,Ne,Ostalo,7030
2017-05-03,Poodle-Standard,Nepoznato,Ne,Ostalo,8098
2017-05-23,Bull Dog,Mužjak,Ne,Ostalo,NA
2017-05-25,Bull Dog-Pit Bull X,Mužjak,Da,Ostalo,10530
2017-05-27,Miniature Pinscher,Mužjak,Da,Ostalo,13740
2017-05-27,Australian Shepherd - Lphasa Apso,Mužjak,Ne,Ostalo,12446
2017-06-05,Schnauzer-Miniature,Mužjak,Ne,Ostalo,NA
2017-05-10,Dachshund Mix,Mužjak,Da,Ostalo,94128
2017-06-09,Pit Bull,Mužjak,Da,Ostalo,10548
2017-06-11,German Shepherd,Nepoznato,Ne,Ostalo,12582
2017-06-10,Shiba Mix,Ženka,Da,Ostalo,11706
2017-06-20,Pit Bull,Mužjak,Ne,Ostalo,11580
2017-06-18,Jack Russ Mix,Mužjak,Ne,Ostalo,NA
2017-06-21,Shih Tzu,Ženka,Ne,Ostalo,10803
2017-06-18,Australian Shepherd,Nepoznato,Ne,Ostalo,NA
2017-06-25,German Shepherd,Ženka,Ne,Ostalo,11221
2017-06-25,Yorkshire Terrier,Mužjak,Da,Ostalo,10710
2017-06-29,Yorkshire Terrier,Mužjak,Da,Ostalo,7403
2017-07-03,Husky Mix,Ženka,Da,Ostalo,12564
2017-07-04,Pekingese Mix,Mužjak,Da,Ostalo,NA
2017-07-03,Pekingese,Ženka,Ne,Ostalo,NA
2017-07-03,Pit Bull,Nepoznato,Ne,Ostalo,NA
2017-06-26,Bull Dog,Mužjak,Ne,Ostalo,NA
2017-07-01,American Eskimo,Mužjak,Ne,Ostalo,NA
2017-07-18,Shepherd Mix,Mužjak,Da,Ostalo,14850
2017-07-21,German Shepherd,Mužjak,Da,Ostalo,NA
2017-07-08,American Pit Bull Terrier-Pit Bull,Mužjak,Ne,Ostalo,11772
2017-07-26,Chihuahua,Ženka,Da,Ostalo,18360
2017-07-23,Terrier Mix,Mužjak,Da,Ostalo,NA
2017-07-26,Schnauzer-Miniature,Mužjak,Da,Ostalo,NA
2017-07-30,Akita,Nepoznato,Ne,Ostalo,NA
2017-07-31,Yorkie Poodle,Mužjak,Da,Ostalo,10701
2017-08-03,Siberian Husky,Nepoznato,Ne,Ostalo,NA
2017-08-05,Cocker Spaniel,Nepoznato,Ne,Ostalo,NA
2017-08-09,Mastiff-Bull,Nepoznato,Ne,Ostalo,NA
2017-08-11,Papillon,Ženka,Da,Ostalo,7030
2017-08-13,Shepherd Mix,Mužjak,Da,Ostalo,6460
2017-08-12,Shih Tzu,Nepoznato,Ne,Ostalo,NA
2017-08-19,Beagle Mix,Mužjak,Da,Ostalo,2633
2017-08-20,Morkie,Mužjak,Da,Ostalo,18301
2017-08-20,Mastiff-Bull,Nepoznato,Ne,Ostalo,NA
2017-08-21,Jack Russ,Ženka,Ne,Ostalo,7036
2017-08-12,Labrador Boxer,Ženka,Da,Ostalo,13903
2017-08-24,Mixed-Other,Mužjak,Ne,Ostalo,10512
2017-08-25,Terrier Mix,Mužjak,Da,Ostalo,6877
2017-08-24,Labrador Retriever,Mužjak,Da,Ostalo,NA
2017-08-27,Terrier Mix,Ženka,Ne,Ostalo,NA
2017-08-25,Mixed-Other,Nepoznato,Ne,Ostalo,NA
2017-09-03,Poodle-Standard,Nepoznato,Ne,Ostalo,NA
2017-09-03,Mutt Mix,Mužjak,Da,Ostalo,12581
2017-09-03,Shih Tzu Coker Spaniel Mix,Mužjak,Da,Ostalo,7726
2017-09-16,Pit Bull Mix,Mužjak,Ne,Ostalo,18103
2017-09-17,Chihuahua - Terrier Mix,Mužjak,Da,Ostalo,7871
2017-09-24,Malinois Mix,Ženka,Da,Ostalo,13731
2017-09-22,Cock-A-Poo,Mužjak,Ne,Ostalo,NA
2017-09-16,Wild Dog,Nepoznato,Ne,Ostalo,NA
2017-09-22,Schnauzer-Miniature,Mužjak,Da,Ostalo,11362
2017-09-12,Australian Shepherd,Mužjak,Da,Ostalo,13865
2017-10-07,Mixed-Other,Nepoznato,Ne,Ostalo,NA
2017-10-08,Rottweiler,Mužjak,Da,Ostalo,12734
2017-10-09,Labrador Retriever,Ženka,Ne,Ostalo,18466
2017-10-10,Terrier Mix,Mužjak,Ne,Ostalo,NA
2017-10-12,Cocker Spaniel,Mužjak,Da,Ostalo,NA
2017-10-14,Scottish Terrier,Ženka,Ne,Ostalo,NA
2017-10-16,Nepoznata,Nepoznato,Ne,Ostalo,NA
2017-10-28,Husky,Nepoznato,Ne,Ostalo,NA
2017-10-29,Siberian Husky,Mužjak,Da,Ostalo,NA
2017-11-04,Mixed-Other,Ženka,Ne,Ostalo,8816
2017-11-07,Lab Mix,Mužjak,Da,Ostalo,11050
2017-11-12,Mixed-Other,Mužjak,Ne,Ostalo,10701
2017-10-26,Siberian Husky,Nepoznato,Ne,Ostalo,NA
2017-11-23,Shih Tzu Mix,Mužjak,Da,Ostalo,1720
2017-11-23,Bull Dog-French,Ženka,Da,Ostalo,10533
2017-11-25,Pit Bull -Bull Dog,Ženka,Ne,Ostalo,NA
2017-11-25,Pekingese Mix,Mužjak,Da,Ostalo,28468
2017-11-28,Rottweiler,Mužjak,Ne,Ostalo,11020
2017-12-10,Siberian Husky,Nepoznato,Ne,Ostalo,NA
2017-12-12,Shiba Inu,Mužjak,Da,Ostalo,13045
2017-12-16,West High White Terrier,Ženka,Ne,Ostalo,NA
2017-12-05,Pit Bull,Mužjak,Ne,Ostalo,NA
2017-12-14,Large Mixed Breed,Mužjak,Ne,Ostalo,3106
2017-12-27,Shepherd Mix,Mužjak,Da,Ostalo,NA
2017-12-24,Yorkie Mix,Mužjak,Da,Ostalo,10921
2017-12-27,Lab- Pit Bull Mix,Ženka,Da,Ostalo,NA
2017-12-20,Pit Bull,Nepoznato,Ne,Ostalo,NA
2017-12-26,Bull Dog-English,Mužjak,Da,Ostalo,10940
2017-12-29,Welsh Corgi-Cardigan,Nepoznato,Ne,Ostalo,19426
2017-01-01,Maltese,Mužjak,Ne,Kvins,11356
2017-01-01,Corgi,Mužjak,Da,Kvins,11354
2017-01-01,Poodle Mix,Mužjak,Ne,Kvins,11373
2017-01-02,Chow Chow,Nepoznato,Ne,Kvins,NA
2017-01-01,Pit Bull,Nepoznato,Ne,Kvins,11691
2017-01-05,Pit Bull,Mužjak,Ne,Kvins,11373
2017-01-05,Pit Bull,Nepoznato,Ne,Kvins,11429
2017-01-10,Corgi,Mužjak,Ne,Kvins,11373
